Id;Date;OwnerId;AutorId;Text;Type;
6079;2021-06-15;-198041786;-198041786;Бесплатный UE ассет ??City Park Environment Collection LITEby SilverTmThis package contains high quality nature assets. It is ideal for creating city parks, forests, and squares.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
536;2021-06-15;-198884048;-198884048;Всем привет! С каждым днем количество наших подписчиков растет и мы вам благодарны за это ??Наш козырь - это механика переселения в игре Memory Lost. В связи с этим, мы бы хотели поинтересоваться:Какие дополнительные применения вы видите в механике переселения?Ведь возможно, что игроки захотят переселиться в тостер, а мы об этом и не знаем............#unrealengine #indiegame #indiegamedev #gamedev #индигеймдев #индиигры #геймдев #игры #gamedevelopment;post;
45419;2021-06-15;-24998;-24998;MINUTE OF ISLANDS НЕОЖИДАННО ВЫШЛА НА РС, PLAYSTATION И NINTENDO SWITCHГерманская студия Fizbin и издательство Mixtvision так и не назвали новую дату релиза рисованной приключенческой головоломки Minute of Islands после мартовских технических проблем. Вместо этого они решили просто выпустить игру без всяких анонсов и предупреждений. 14 июня Minute of Islands появилась на РС, PlayStation и Nintendo Switch. Сегодня, 15 июня, она выйдет на консолях Xbox. В Steam её можно купить за 435 рублей, в магазине PlayStation — за 1429 рублей, а поклонникам Nintendo она обойдётся дороже всего: 1799 рублей. В Minute of Islands мы попадём в необычный мир, некогда выстроенный древними великанами. Много лет спустя его механизмы начинают изнашиваться и ломаться. И лишь наша героиня, Мо, способна не дать всему миру рухнуть: ведь у неё есть Омни-переключатель. Игрокам предстоит путешествовать между необычными островами, спускаться в подземелья, знакомиться со странными обитателями, решать головоломки и постепенно выяснять, что за страшная правда прячется на дальних островах.Источник: https://www.igromania.ru/news/106008/Minute_of_Islands_neozhidanno_vyshla_na_RS_PlayStation_i_Nintendo_Switch.html#MinuteofIslands #Fizbin #indiegame #adventure #головоломка #платформер;post;
6078;2021-06-15;-198041786;-198041786;Бесплатный UE ассет ??Better Construction Scriptsby Skyler ClarkConstruction Scripts for components, and better options for Construction Scripts to control the amount of work done in packaged builds.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6077;2021-06-15;-198041786;-198041786;Unity Asset Store ??Easy Crafting Systemby MVT CompanyThanks to Easy Crafting System You can create systems of creations of objects of three or two items of the size you want in !!! minutes ??? With this asset you can facilitate your systems of creations and reduce your time in programming, with a system of easy use and understanding.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6076;2021-06-15;-198041786;-198041786;Unity Asset Store ??Free PBR Velociraptorsby Ferocious IndustriesGame-Ready Velociraptors! Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6075;2021-06-15;-198041786;-198041786;Unity Asset Store ??Creatures of the Night: SUPERNATURAL HUNTERS [Monk - Pixel Art Pack]by Min LiiANIMATIONS-Stand-Run-Jump-Falling-Attack 1-Attack 2-Attack 3-Projectile-Defense-Death Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
4482;2021-06-15;-128576365;-128576365;#neocab #indiegame #othergame@thecatlady_funsКошатницы и кошатники, в очередной раз делюсь с вами тем, что привлекло моё внимание и вызвало интерес. > Neo Cab <Игра с атмосферой похожей на «VA-11 Hall-A: Cyberpunk Bartender Action» и «The Red Strings Club», а рисовкой напоминающая проекты Telltale Games. Сама игра представляет из себя визуальную новеллу и имеет в Steam следующее описание:«Постарайтесь остаться человеком в мире машин. Вам предстоит играть за Лину — последнюю таксистку Лос-Охоса. Знакомьтесь. Слушайте истории пассажиров. И главное — будьте человеком! Приложение Neo Cab помогает выбирать пассажиров и показывает дорогу. Общайтесь с клиентами, пока вы едете по маршруту. Заботьтесь о своем рейтинге, чтобы не вылететь с работы. Учитесь не поступаться своими чувствами ради денег или из желания угодить другим. И постарайтесь решить, что важнее: ваше душевное здоровье или звездный рейтинг?»;post;
6074;2021-06-15;-198041786;-198041786;Unity Asset Store ??[Pixel art] Creatures of the Night: BIZARRE GRAVEYARD Tilesetby Min Lii- Floor with 9 sprites- (NEW!) Rule Tile Tilemap added: Create with more quality and more speed!- 5 Decoratives + 9 varations- More 5 new decoratives for unleashed your creativity- Background with 3 layers for parallax Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6073;2021-06-14;-198041786;-198041786;Unity Asset Store ??Creatures of the Night: VAMPIRES [Pixel Art]by Min Lii Pack with 4 different 2D animated characters (above ~200frames): Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6072;2021-06-14;-198041786;-198041786;Unity Asset Store ??113 2D Item Iconsby MiMU STUDIOThis package contains 113 2D cartoony item icons. They are a little bit random, but we are sure they covered most of common item icons you need in a small RPG game. Great for whoever is looking for an instant use of item icons in your project. Or use them as a mock up before hiring an artist to draw real artwork. Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6071;2021-06-14;-198041786;-198041786;Unity Asset Store ??Classical Crossbowby RyuGiKen3D crossbow model with maps and animationTags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6070;2021-06-14;-198041786;-198041786;Unity Asset Store ??Stylized RPG Starter Weaponsby Drunken SavantsA pack of pbr stylized rpg weapons Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
118;2021-06-14;-203218467;-203218467;Пару дней назад на Nintendo Switch вышел конструктор игр. Да, теперь создавать свои игры можно прямо лежа на диване и потыкивая в экран пальцем. Звучит здорово? Очень. А работает это как, удобно? Нуууууууу... нет. Тем не менее спасибо огромное человеку, который дал мне свой акк с купленной прогой (а стоит она 2600 на секундочку).За пару дней прошел почти все встроенные туториалы и решил собрать свою игру. Долго не думал и выбрал повтор гугл динозавра. Что из этого получилось можете чекнуть в прикрепленном видео.Было бы вам интересно посмотреть полноценный ролик на ютубе про создания игр на этом "движке"? Могу организовать#gamedev #game #indiegame #созданиеигр #games #unity3d #геймдизайн #switch #gameBuilderGarage #nintendo;post;
6068;2021-06-14;-198041786;-198041786;Unity Asset Store ??Plastic Dumpster PBRby QunatumHigh-quality low-poly 3D model of Street Trash Can Dumpster The model is ready for use in games and other real-time applications.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
6058;2021-06-14;-198041786;-198041786;Unity Asset Store ??Puppet2D Animation Rendererby exoaThis is a PNG sequence exporter for your Puppet2D animations. It will automatically render transparent frames of your animations at your specified framerate !Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
7939;2021-06-14;3999004;3999004;Алекс - дерево ??Сегодня с утра и до позднего вечера с коллегой изучали и тестировали скомпилированный билд Liber. Проходили заново всю созданную часть игры. Фиксировали найденные ошибки и недоработки. Со стороны кажется это легко, но поверьте, это сложнее, чем управлять Оконным бизнесом! Хотите примеры? Пожалуйста. Знаете ли вы, что звук перемещения по выбору в меню создаёт ощущения от Игры с первых секунд? Или что звук шагов на поверхности это десятки разных оттенков звуков! Или например когда персонаж наступает на грязь, то можно создать следы, но это не просто! А какие следы? Они исчезают или нет? Нет смысла говорить про анимации. Это очень трудоемкая часть работы. Персонаж может прыгать условно со второго этажа на прямые ноги, как оловянный солдатик (assassin creed) либо ноги подкашиваются, он приседает и потом только выпрямляет ноги? Как делать? Когда персонаж разговаривает - рот открывается. Не в кат-сцене, а в игре. И это тоже сделать не так просто. Добавим сюда коллизии объектов, запекание света, тени, динамическое освещение и многое другое! Все это надо проверить, выверить, сделать играбельно. Разработчики и левел-дизайнеры - это особые люди, архитекторы миров. Постигая эту науку я понимаю как это сложно. Игровой бизнес - это многомиллиардный бизнес с огромным годовым оборотом. Рынок растёт ежегодно! #дневникразработчика #gamedev #indiegame #indiegamedev #indiegames #libergame;post;
270;2021-06-14;-143984626;-143984626;Остался один час!!!!! ??????????https://store.steampowered.com/app/1592980/The_Guardian/#indiedev #gamedev #indiegame #adventuregame;post;
6057;2021-06-14;-198041786;-198041786;Unity Asset Store ??UI Shader With Fogby MultirezonatorDefault UI shaders does not takes fog into account on rendering, but in WorldSpace mode it's can be necessary. I've made shader to draw UI elements with fog and that is modified UI/Default shader code. So it's will works fine in most Unity versions and also with URP.Tags: #free@unity_news_ru #asset #assetstore #gamedev #indiegame #indiedev #unrealengine #геймдев #разработкаигр;post;
1751;2021-06-14;-201962214;-201962214;Tails of Iron, издаваeмая United Label, пoдpаздeлeниeм CI Games, oт cтудии Odd Bug Studios пoлучила cюжeтный тpeйлep.  «Tails of Iron – это приключенческая ролевая игра с нарисованной от руки графикой и бескомпромиссной боевой системой в антураже хмурого, потрепанного войной мира. Играя за Реджи, наследника Крысиного престола, вы должны будете спасти свое королевство и изгнать воинственный клан Лягушек, во главе которого – свирепый Бородавк Зеленый.»Tails of Iron выйдeт на PlayStation 5, Xbox Series, PlayStation 4, Xbox One, Switch и PC в 2021 гoду.#United_Label #Odd_Bug_Studio #Tails_of_Iron #RPG #indiegame;post;
